AZERBAYCAN,AZERBAYCAN TIP ÜNİVERSİTESİ İÇİN KAYIT DANIŞMANLIK : 1500USD,,,,,,,,
,DİĞER ÜNİVERSİTELER İÇİN DANIŞMANLIK 1150 USD,,,,,,,,
-Vizesiz Bir Ülkededir. Okul Başladıktan Sonra Öğrenci Oturumu Yapılır.-,,,,,,,,,
-Yaş Ve Diploma Notunda Sınır Yoktur,,,,,,,,,
-Adli Sicili Olan Öğrenciler Kabul Edilmez,,,,,,,,,
-Öğrenci Oturumu İle Ülkede Çalışamaz,,ÖNEMLİ VE EN ÇOK GİDİLEN ÜNİVERSİTELER,,,,,,,
-Ders Saydırma Tamamlama Gibi İşlemler Yapılmaz.,,AZERBAYCAN TEKNİK ÜNİVERSİTESİ,,,,,,,
-Nerdeyse Her Üniversitenin Kendine Ait Hazırlığı Vardır.,,AZERBAYCAN GENCE DEVLET TARIM ÜNİVERSİTESİ,,,,,,,
-Birinci Sınıf Kayıtlar Hazırlıktan Daha Erken Kapanır.,,AZERBAYCAN İNŞAAT VE MİMARLIK ÜNİVERSİTESİ,,,,,,,
-Havacılık Üniversitesi Kaydı Diğer Üniversiteler Göre Daha Erken Kapanır.,,AZERBAYCAN ÜNİVERSİTESİ,,,,,,,
-Oturum Her Şey Dahil  : 150 Azn,,AZERBAYCAN DEVLET DENİZ AKAMESİ,,,,,,,
-Hat Ücreti İnt. Dahil: 35 Azn,,AZERBAYCAN MİLLİ HAVACILIK ÜNİVERSİTESİ,,,,,,,
-Çeviri Evrak Başı: 20-50 Azn,,,,,,,,,
-Sigorta İlk Yıl İnşaat Ve Mimarlıkta Zorunlur: 200 Azn,,,,,,,,,
-Yurtta Yemek  Ortalama: 250 Azn,,,,,,,,,
-Genel Olarak Aylık Gider Barınma Hariç: 500-600 Azn,,,,,,,,,
,,,,,,,,,
AZERBAYCAN  ÜNİVERSİTESİ,HAZIRLIK  AZN-İNG: 1.000 USD,DİL ,,,,,,,
Bilgi Güvenliği,1500-1600 $,Azerbaycan Türkçesi - İng,,,,,,,
Bilgi Teknolojileri,1.300$ ,Azerbaycan Türkçesi,,,,,,,
Bilgisayar Mühendisliği,1.300$ ,Azerbaycan Türkçesi - İng,,,,,,,
Uluslararası Ticaret ve Lojistik,1.200$ ,Azerbaycan Türkçesi,,,,,,,
İşletme Yönetimi,1.500$ - 2.200$,Azerbaycan Türkçesi - İng,,,,,,,
Ekonomi,1.300$ - 1.500$,Azerbaycan Türkçesi - İng,,,,,,,
Finans,1.000$ ,Azerbaycan Türkçesi,,,,,,,
Pazarlama ,1.000$ ,Azerbaycan Türkçesi,,,,,,,
Truzim İşletmeciliği Organizasyonu,1.500$ - 1.600$,Azerbaycan Türkçesi - İng,,,,,,,
Yönetim,1300 $,Azerbaycan Türkçesi,,,,,,,
Muhasebe,1.300$- 1500$,Azerbaycan Türkçesi - İng,,,,,,,
Sosyal Çalışma,1.600$- 1800$,Azerbaycan Türkçesi - İng,,,,,,,
Uluslararası İlişkiler,1800$ ,Azerbaycan Türkçesi,,,,,,,
Filoloji (azerbaycan dili ve edebiyatı- ingiliz dili ve edebiyatı),1.600$ ,Azerbaycan Türkçesi,,,,,,,
Siyaset Bilimi,1.800$,Azerbaycan Türkçesi,,,,,,,
Felsefe,1500$,Azerbaycan Türkçesi,,,,,,,
AZERBAYCAN DEVLET PEDAGOJİ ÜNİVERSİTESİ,HAZIRLIK ,DİL ,,,,,,,
Dünya Edebiyatı,1180$ ,Azerbaycan Türkçesi,,,,,,,
İlkokul Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Okul Öncesi Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
"İngilizce Öğretmenliği,  ",1180$ ,Azerbaycan Türkçesi,,,,,,,
Matematik öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Fizik Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Biyoloji Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Dünya Edebiyatı,1180$ ,Azerbaycan Türkçesi,,,,,,,
İlkokul Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Okul Öncesi Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
İngilizce Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Matematik öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Fizik Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Biyoloji Öğretmenliği,1180$ ,Azerbaycan Türkçesi,,,,,,,
Psikolojik Danışmanlık ve Rehberlik Öğretmenliği ,1180$ ,Azerbaycan Türkçesi,,,,,,,
