BULGARİSTAN,,,,,,,,,
,,,,,,,,,
-KAYIT DANIŞMANLIK: 1950 EURODUR,,-BULGARİSTANDAN AĞIRLIK OLARAK SOFYA VE VARNA'YA ÖĞRENCİ GÖNDERİYORUZ. (ÖNCELİK SOFYA),,,,,,,
*DANIŞMANLIĞA VİZE DAHİL DEĞİLDİR*,,-ÖĞRENCİ VİZE ÜCRETİ 350€,,,,,,,
-IELTS 6 ÜSTÜ OLMALIDIR. (AKADEMİK),,-İŞLEMLER YAKLAŞIK 4 AY SÜRMEKTEDİR. (VİZE HARİÇ),,,,,,,
"-OTURUMLAR ÖĞRENCİNİN, BELGESİ ÇIKTIKTAN SONRA YAPILIR.",,-ÜLKEDE  SENELİK SİGORTA YAPILIYOR 165-170€,,,,,,,
-ÇİFTE VATANDAŞLAR İÇİN LİSAN EĞİTİMİNDE %50 İNDİRİM VARDIR.  (BULGAR VE TÜRK),,-BANKA HESABI AÇILIYOR. İÇERİDE PARA GÖSTERİLMESİ GEREKİYOR.  (45-100 €),,,,,,,
-EVRAKLARIN ÇEVİRİSİ BULGARİSTAN'DA YAPILMAKTADIR.,,"-OTURUM KARTININ ÇIKMASI SÜRELİDİR. (3 GÜNDEN 30 GÜNE  KADAR DEĞİŞİR, ÜCRETİDE DEĞİŞKENLİK GÖSTERİR 100-250€)",,,,,,,
-BANKA TEMİNATI EN AZ 4.000€ ,,"-GEREKLİ DURUMLARDA, ÖĞRENCİ ADLİ SİCİLİN ÇEVİRİSİ YAPILABİLİR(40-45€)",,,,,,,
-BÜTÜN HAZIRLIKLAR  SOFYA KLIMENT ÜNİVERSİTESİNDE ALINIYOR.,,-ÖĞRENCİLERGENELLİKLE ÖZEL YURTTA KALMAKTADIR. (250-400€),,,,,,,
,,-BÜTÜN HAZIRLIKLARDA İLK DÖNEM DİL AĞIRLIKLI İKİNCİ DÖNEM BÖLÜM HAZIRLIĞIDIR.,,,,,,,
,,,,,,,,,
 SOFYA TEKNİK ÜNİVERSİTESİ,HAZIRLIK 2500€,ÜCRET,YÜKSEK LİSANS*DOKTORA 3500€,DİL,,,,,
Yazılım Mühendisliği,İngilizce  ,4.720€,Bilgisayar Mühendisliği,İngilizce ,,,,,
Telekomünikasyon,İngilizce  ,4.720€,Makine Mühendisliği,İngilizce ,,,,,
Akıllı Sistemler ve Yapay Zeka,İngilizce  ,4.720€,Elektrik Mühendisliği,İngilizce ,,,,,
Endüstri Mühendisliği,İngilizce  ,4.720€,Elektrik Güç Mühendisliği ve Ekipmanları,İngilizce ,,,,,
Havacılık ve Ucak Mühendisliği,İngilizce  ,4.720€,Bilgisayar  Bilimi Mühendisliği,İngilizce ,,,,,
Otomotiv Mühendisliği,İngilizce  ,4.720€,Endüstri Mühendisliği,İngilizce ,,,,,
Lojistik Mühendisliği Ulaştırma,İngilizce  ,4.720€,Tekstil Tasarım Giyim Teknolojileri,İngilizce ,,,,,
Elektronik Mühendisliği,İngilizce  ,4.720€,Mekatronik ,İngilizce ,,,,,
Tekstil Mühendisliği,İngilizce  ,4.720€,Mühendisliğin Tıp Mühendisliği,İngilizce ,,,,,
Elektrik Mühendisliği,İngilizce  ,4.720€,E*Yönetim,İngilizce ,,,,,
Bilgisayar Mühendisliği ,İngilizce  ,4.720€,İşletme Yönetimi için Bilgi Teknolojisi,İngilizce ,,,,,
Makine Mühendisliği,İngilizce  ,4.720€,Bilgisayar Bilimi ve İletişim,Fransızca,,,,,
Mekatronik Sistemler Mühendisliği,İngilizce  ,4.720€,Elektronik ve Kontrol Mühendisliği,Fransızca,,,,,
Endüstrüyel Yönetim,İngilizce  ,4.720€,Telekomünikasyon,Fransızca,,,,,
Bilgisayar Sistemleri ve Teknolojileri,İngilizce  ,4.720€,Bilgisayar Bilimi,Fransızca,,,,,
Elektronik ve Kontrol  Mühendisliği,İngilizce  ,4.720€,Bilgisayar Sistemleri ve Teknolojileri,Almanca,,,,,
 İşletme Yonetimi,İngilizce  ,4.720€,Endüstriyel Yönetim,Almanca,,,,,
Bilgisayar Bilimleri IT,İngilizce  ,4.620€,İşletme,Almanca,,,,,
Tekstil Tasarım Teknoloji Mühendisliği,İngilizce  ,4.720€,,,,,,,
İşletme Bilişimi,İngilizce  ,4.720€,,,,,,,
Uygulamalı Matematik,Bulgarca ,,,,,,,,
Bilişim ve Yazılı Bilimi,Bulgarca ,,,,,,,,
Endüstriyel Yönetim,Bulgarca ,,,,,,,,
Uygulamalı Fizik ve Bilgisayar Müdellenmesi,Bulgarca ,,,,,,,,
Veri Analizi,Bulgarca ,,,,,,,,
Yönetim ve İş Bilgi Sistemleri ,Bulgarca ,,,,,,,,
Termik ve Nükleer Güç Lojistik Mühendisliği,Bulgarca ,,,,,,,,
Taşıma Makineleri ve Teknolojileri,Bulgarca ,,,,,,,,
Ulaşım Teknolojileri ve Yönetimi,Bulgarca ,,,,,,,,
Havacilik Mühendisliği,Bulgarca ,,,,,,,,
Siber Güvenlik,Bulgarca ,,,,,,,,
Endüstride Bilgi Teknolojisi,Bulgarca ,,,,,,,,
Bilgisayar ve Yazılım Mühendisliği,Bulgarca ,,,,,,,,
Otomotiv Elektroniği,Bulgarca ,,,,,,,,
Elektronik,Bulgarca ,,,,,,,,
Metroloji ve Ölcüm Ekipmanları,Bulgarca ,,,,,,,,
Bilgisayar Destekli Tasarım ve İmalat,Bulgarca ,,,,,,,,
Dijital Endüstriyel Teknolojiler,Bulgarca ,,,,,,,,
Otomatik Bilgi ve Kontrol Teknolojisi,Bulgarca ,,,,,,,,
Elektrik Güç Mühendisliği ve Elektrik Ekipmanları,Bulgarca ,,,,,,,,
İsıtma ve Soğutma Teknolojileri ve Sistemleri,Bulgarca ,,,,,,,,
Yenilenebilir Enerji  ve Akışkan Teknolojileri,Bulgarca ,,,,,,,,
Termik ve Nükleer Güç Mühendisliği,Bulgarca ,",",,,,,,,
,,,,,,,,,
SOFYA TIP ÜNİVERSİTESİ ,ÜCRET,DİL ,EK BİLGİLER,,,,,,
Tıp (6 yıl),9.950 €,Bulgarca-İngilizce,,,,,,,
Diş Hekimliği,10.000 €,Bulgarca-İngilizce,İngilizce Hazırlık 4800€,,,,,,
Eczacılık (5 yıl),10.340 €,Bulgarca-İngilizce,,,,,,,
Hemşirelik,3000€- 4000€,Bulgarca-İngilizce,,,,,,,
,,,,,,,,,
SOFYA KLİMENT OHRİDSKİ ÜNİVERSİTESİ,ÜCRET,DİL ,EK BİLGİLER,YÜKSEK LİSANS ,ÜCRET,DİL ,DOKTORA,,
Tıp   ,8.000€,Bulgarca-İngilizce,İngilizce Hazırlık 3500€,Optometri,3.300 €,Bulgarca ,Ekonomi,1.900 €,İngilizce 
Eczacılık,7.700€,Bulgarca-İngilizce,Bulgarca Hazırlık 3500€,Eğitim Yönetimi,3.300 €,İngilizce ,İşletme,1.900 €,İngilizce 
Avrupa Birliği ve Entegtasyonu Çalışmaları  ,3.100 €,İngilizce,HAZIRLIK SONRASI GİRİŞ SINAVI YAPILMAKTADIR,Sosyal Pedagoji,3.000 €,İngilizce ,Dijital Uygulamalar,1.900 €,İngilizce 
Psikoloji,2.900 €,Bulgarca,BİYOLOJİ KİMYA FİZYOLOJİ SINAVI,İngilizce ve Fransızca Tercume,2900€*yarı zamanlı 1600€,İngilizce ,Birleşik Avrupa Edebiyatları(Frz) ,2.750 €,İngilizce 
Dijital Uygulamalar,2.200 €,İngilizce,Yüksek lisanslar 1.5 Yıldır,"Göstergebilim, Dil ve Reklamcılık",2900€*yarı zamanlı 1600€,İngilizce ,Agro Biyoteknoloji ,2.750 €,İngilizce 
Muhasebe,2.200 €,İngilizce,İngilizce için: ,Dil ve Kültür,2900€*yarı zamanlı 1600€,İngilizce ,Moleküler Biyoloji ve Biyo Teknolojileri,2.750 €,İngilizce 
Finans,2.200 €,İngilizce,CPE (Certificate of Proficiency in English). ,İletişim Dil ve Kitle Medya ,2900€*yarı zamanlı 1600€,İngilizce ,Ekoloji ve Çevre Koruma,2.750 €,İngilizce 
Felsefe,3.850 €,İngilizce,"IELTS (bands 6, 7, 8, 9). 4. PITMAN – Higher Intermediate – Advanced. ",Felsefe,3.850 €,İngilizce ,Biyolojik Yönetim Ve Sürdürülebilir Kalkınma,2.750 €,İngilizce 
İşletme,3.850 €,İngilizce-Alm-Fransızca,"TOEFEL (en az 550, 213 veya 100 puan).",Örgüt Psikolojisi ,3.850 €,İngilizce ,Hukuk,6.500 €,İngilizce 
Tıbbi Rehabilitasyon ve Ergoterapi ,3.100 €,Bulgarca,CAE (Cambridge Certificate in Advanced English).,Kültürlerarası Yönettim,3.850 €,İngilizce ,Tıp Uzmanlığı,10.000 €,İngilizce 
Afrika çalışmaları ,2.900 €,İngilizce,,Genel Psikoloji,3.850 €,İngilizce ,Özel Pedagoji,2.750 €,İngilizce 
Tarıh,2.900 €,İngilizce,,Kültürel İrtibatlar ve Dünyanın Jeopolitiği ,2500€ yarı zamanlı 1600€,İngilizce ,Müzik Pedagoji,2.750 €,İngilizce 
İklim değişikliği ve Yönetimi,3.850 €,İngilizce,,Avrupa Birliği,2500€ yarı zamanlı 1600€,İngilizce ,Medya Pedagojisi,2.750 €,İngilizce 
Hukuk,3.300 €,Bulgarca,,Avrupa Birliği Politikaları ,3.300 €,İngilizce ,Okul Öncesi Pedagojisi,2.750 €,İngilizce 
Uluslararası İlişkiler,3.300 €,Bulgarca,,Avrupa ve Dünya Küreselleşmesi,3.300 €,İngilizce ,Avrupa Birliği Politikaları ,3.850 €,İngilizce 
Gazetecilik ve Kitle İletişimi,3.300 €,Bulgarca,,Kamu Yönetimi,3.850 €,İngilizce ,,,
halkla ilişkiler,3.300 €,Bulgarca,,İşletme,2.200 €,İngilizce ,,,
Kitap Yayıncılığı,3.300 €,Bulgarca,,İnsan Kaynakları Gelişimi,2.200 €,İngilizce ,,,
İletişim yönetimi,3.300 €,Bulgarca,,İşletme Stratejil Yönetim,2.200 €,İngilizce ,,,
Okul Öncesi Öğretmenliği,3.300 €,Bulgarca,,İşletme Bilgi Güvenliği,2.200 €,İngilizce ,,,
İlkokul Öğretmenliği,3.300 €,Bulgarca,,Finansal Yönetim,2.200 €,İngilizce ,,,
Sosyal Pedagoji,3.300 €,Bulgarca,,Uygulamalı Ekonometri ,2.200 €,İngilizce ,,,
Özel Pedagoji,3.300 €,Bulgarca,,Ekonomi Modelleme,2.200 €,İngilizce ,,,
Konuşma Terapisi,3.300 €,Bulgarca,,Savunma Sanayi,2.200 €,İngilizce ,,,
Güzel Sanatlar ,3.300 €,Bulgarca,,Füzyon Bilimi ve Teknolojisi,3.850 €,İngilizce ,,,
Müzik,3.300 €,Bulgarca,,Nükleer ve Parcacık Fiziği,3.850 €,İngilizce ,,,
Medya ve Sanatsal İletişim,3.300 €,Bulgarca,,Hesaplamalı Kimya,3.850 €,İngilizce ,,,
Fiziksel Etkinlikler ve Spor,3.300 €,Bulgarca,,Polimer Bilimi Kimyası,3.850 €,İngilizce ,,,
Grafik Tasarım,3.300 €,Bulgarca,,Kimya Mühendisliğinde Cağdaş Malzemeler,3.850 €,İngilizce ,,,
Müzik ve Medya Teknolojileri,3.300 €,Bulgarca,,Kimya MühendisliğindeFonksüyonel Malzemeler,3.850 €,İngilizce ,,,
Ses Mühendisliği,3.300 €,Bulgarca,,Kimyada Modern Spektral ,3.850 €,İngilizce ,,,
Coğrafya,3.300 €,Bulgarca,,Kimyada Kromatoğrafik Teknolojiler,3.850 €,İngilizce ,,,
Jeoloji,3.300 €,Bulgarca,,Kimyasal Teknolojilerde Disperse Sistemleri,3.850 €,İngilizce ,,,
