                         MOLDOVA ÜNİVERSİTELERİ ,,ÜNİVERSİTE ÜCRETLERİ YILLIK HESAPLANMIŞTIR LEİ OLARAK OKULLARA ÖDEME YAPILIR ,,,,,,
MOLDOVA USEM  HUKUK AKADEMİSİ ,Hukuk,1.300 €,Romence*Rusça,4 Yıl*ULİM ÜNİVERSİTESİNE BAĞLIDIR,Kayıt Masrafları ve Rehberlik 1000€,,,
KOMRAD DEVLET ÜNİVERSİTESİ,LİSANS YILLIK,DİL HAZIRLIK 800$,YIL,EK GİDERLER ,YUKSEKLİSANS,,,
İngilizce Öğretmenliği  ÖSYM ile Kazanan,850$,Romence,3 Yıl,Kayıt Masrafları ve Rehberlik 1000€,Ceza Hukuku,1550$,,
Rus Dili ve Edebiyatı ÖSYM ile Kazanan,850$,Romence,3 Yıl,Evrak İşlemleri Onaya Hazırlanması,Sivil Hukuk ,1550$,,
İşletme Yönetimi ,1250$,Romence,3 Yıl,Bakanlık ve Okul Kayıt Harcı,İş Birliği Hukuku,1550$,,
Turizm ve Konaklama ve Eğlence Yönetimi,1250$,Romence,3 Yıl,Onayın ve İkamet bildirimi,Yerel Kamu Yönetimi,2000$,,
Finans ve Bankacılık,1250$,Romence,3 Yıl,Bireysel Seyahat Giderleri,Eğitimde Yönetim,1550$,,
Muhasebe,1250$,Romence,3 Yıl,Konaklam Giderleri,Müzik Eğitimi,1550$,,
Bilişim,1250$,Romence,3 Yıl,Seyahat Sigortası ,İlkokul Öğretmenliği,1550$,,
Bilgisayar Bilimi ve Matematik,1250$,Romence,3 Yıl,Yeme ve İçme (Market),Endüstrilerde Muhasebe ve Denetim,2000$,,
Okul Öncesi Öğretmenliği,1250$,Romence,3 Yıl,Vize 90€*Oturum İzni 100€,Kurumsal Finansman,2000$,,
İlkokul  Sınıf Öğretmenliği,1250$,Romence,3 Yıl,2500€ Bankada Gösterilir,İş İdaresi,2000$,,
Türk Dili ve Edebiyatı,1250$,Romence,3 Yıl,Konsolosluklar,Tarım Üretim Yönetimi,1550$,,
Tarih,1250$,Romence,4 Yıl,İstanbul Bursa Antalya*Ankara,Avrupa Komşuluk Siyaseti Hukuki Yönleri,2000$,,
Coğrafya ,1250$,Romence,3 Yıl,EĞİTİMLER ,Rus Dili ve Edebiyatı,1550$,,
Yabancı Diller (İngilizce*Almanca),1250$,Romence,3 Yıl,3+2* 4+1  Şeklindendir ,,,,
Gazetecilik ve Medya ,1250$,Romence,3 Yıl,1 ve 2 Yükseklisanslardır.,,,,
Müzik,1250$,Romence,3 Yıl,KONAKLAMA ,,,,
Bahçe Bitkileri,1250$,Romence,4 Yıl,YURT,,,,
