POLONYA ÜNİVERSİTELERİ,VİZE İŞLEMLERİ ÖĞRENCİYE AİTTİR. 500 EURO,,,,,
,,,,,,
DİPLOMA PUANI 70 VE ÜZERİ OLMALIDIR.,,,,,,
VİZE İÇİN BANKADA 3000 EURO TEMİNAT BULUNMASI GEREKİYOR. ,,,,,,
TIP- DİŞ HEKİMLİĞİ -ECZACILIK- HUKUK BÖLÜMLERİ İÇİN KAYIT DANIŞMANLIK 1550€,,,,,,
VİZESİNDEN PROBLEM OLDUĞU İÇİN SADECE YEŞİL PASAPORTLU ÖĞRENCİLER ALINIYOR. ,,,,,,
ÖĞRENCİ ORAYA GİTTİKTEN SONRA AVUKAT YARDIMI İLE OTURUM ALINIYOR  (ÜCRETİ MASRAFLAR DAHİL 1500€),,,,,,
,QS,THE,CWTS,ARWU (SHANGHAİ),,
JAGİELLON ÜNİVERSİTESİ,304,601-800,-,İLK BİNDE,,
VARŞOVA ÜNİVERSİTESİ,262,-,-,İLK BİNDE,,
GDANSK TEKNOLOJİSİ ÜNİVERSİTESİ,851-900,-,688,İLK BİNDE,,
LODZ MEDİCAL UNIVERSTY,-,801-1000,830,-,,
VARŞOVA TEKNOLOJİ ÜNİVERSİTESİ,-,571,567,İLK BİNDE,,
WROCLAW TIP ÜNİVERSİTESİ,-,601-800,763,İLK BİNDE,,
,,,,,,
VARŞOVA SOSYAL BİLİMLER VE PSİKOLOJİ ÜNİVERSİTESİ )SWPS),ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,DİL 
İşletme ve Yönetimi ,4.500 €,İngilizce,Akademik Yıl,Klinik Psikoloji ,7.000 €,İngilizce
Psikoloji,5.100 €,İngilizce,Hazırlık 3200€,Uygulamalı Sosyal Psikoloji,7.000 €,İngilizce
Kültürlerarası İletişim ve Seyahat,2.700 €,İngilizce,Hazırlık  Lehce ve İngilizce 3200€,Kamu Politikası,5.300 €,İngilizce
İş İngilizcesi ve Medya Çalışmaları,2.700 €,İngilizce,Yurt 100€*150€,Yönetim ve Liderlik,5.300 €,İngilizce
Dil Çalışmaları(Çift Diploma)İspanyolca*Almanca* Çince* Korece* İngilizce,2.700 €,İngilizce,Ev Kirası  200€*300€                                 ,Psikopatoloji,7.000 €,İngilizce
İngiliz Dil Çalışması,2.500 €,İngilizce,,,,
VARŞOVA ÜNİVERSİTESİ ,ÜCRET ,DİL ,EK GIDERLER BİLGİLER ,YUKSEK LİSANS,ÜCRET ,
Uluslararası İlişkiler,3.400 €,İngilizce,Akademik Yıl,Psikoloji,4.600 €,İngilizce
Finans  Muhasebe ve Uluslararası Yatırım,2.100 €,İngilizce,Hazırlık 3300€,Fizik*Felsefe,3.400 €,İngilizce
Amerikan Araştımaları Başlantılı Avrupa Kültürü ve Ekonomisi,3.400 €,İngilizce,Yurt 100€*150€,Arkeoloji,3.400 €,İngilizce
Siyasal Bilimler,3.400 €,İngilizce,,İngiliz Dili Bilimi,3.400 €,İngilizce
Psikoloji,4.600 €,İngilizce,,Siyaset Bilimi,3.400 €,İngilizce
Arkeoloji,2.000 €,İngilizce,,Uluslararası İlişkiler,3.400 €,İngilizce
İngiliz Dil Bilimi,2.500 €,İngilizce,,Uluslararası İşletme,4.200 €,İngilizce
