 RUSYA ÜNİVERSİTELERİ,,,,,,,,,
-KAYIT DANIŞMANLIK 1550 USD ,,,,,,,,,
-YAŞ SINIRI VE LİSE DİPLOMA PUANI ÖNEMLİDİR. 25 YAŞ ÜSTÜ HER OKULA ALINMAZ SADECE RUDİN ALIR.,,,,,,,,,
-VİZELİ BİR ÜLKEDİR. VİZE BİR HAFTADA ÇIKAR. ORTALAMA 180 USD,,,,,,,,,
-BÜTÜN ÖĞRENCİLER YURTTA KALIYOR ORTALAMA 200 USD,,,,,,,,,
,,,,,,,,,
,QS,THE,CWTS,ARWU(SHANGHAİ),,,,,
RUSYA,,,,,,,,,
MOSKOVA FİZİK VE TEKNOLOJİ ENSTİTÜSÜ,418,201-250,-,İLK BİNDE,,,,,
SAİNT PETERSBURG DEVLET ÜNİVERSİTESİ,315,-,495,İLK BİNDE,,,,,
NOVOSİBİRSK DEVLET ÜNİVERSİTESİ,421,601-800,421,İLK BİNDE,,,,,
URAL FEDERAL ÜNİVERSİTESİ RUSYA,473,801-1000,898,İLK BİNDE,,,,,
EYO ÜNİVERSİTESİ,399,401-500,823,701-800,,,,,
SEÇENOV ÜNİVERSİTESİ,771-780,801,-,İLK BİN,,,,,
KAZAN FEDERAL ÜNİVERSİTESİ,396,801-1000,,,,,,,
ULUSAL ARAŞTIRMA NÜKLEER ÜNİVERSİTESİ,461,401-500,,İLK BİN,,,,,
RUDN ÜNİVERSİTESİ,342,601-801,,,,,,,
LOMONOSOV MOSKOVA DEVLET ÜNİVERSİTESİ,,95 (!),219,101-150,,,,,
,,,,,,,,,
KAZAN FEDERAL ÜNİVERSİTESİ ,DİL,ÜCRET,EK GİDERLER, YUKSEKLİSANS,DİL,ÜCRET,DOKTORA 2450$ Yıllık,,
Tıp  ,İngilizce*Rusça ,8750$*6450$,Hazırlık İngilizce Paketi 5250$,Biyoloji ,İngilizce,4730$,Matematik,,
Diş hekimliği ,İngilizce*Rusça ,8750$*6350$,Hazırlık Rusça Paketi  4350$,Fizik,İngilizce,4730$,Bilişim ve Bilgisayar,,
Eczacılık ,Rusça ,4550$,,Radyofizik,İngilizce,4730$,Elektronik ,,
Klinik Psikoloji (5 Yıl),Rusça ,2350$,Yurt 120$ Yıllık,Jeoloji ,İngilizce,4730$,Radyo Teknolojisi ve İletişim,,
Hukuk ,Rusça ,3000$,YURT 100$ yıllık,İlahiyat,İngilizce,4400$,Bilgisayar Bilimi BT,,
İşletme ,İngilizce*Rusca,3750$*3100$,Sağlık Sigortası 160$,Genel ve Stratejik İşletme,İngilizce,4400$,Mekanik  ve Matematik,,
Turizm  ,İngilizce,2350$,, Matematik,İngilizce,4400$,Fizik ve Astronomi,,
Biyoloji ,İngilizce*Rusca,4550$*2350$, 1 Ekim Son Basvuru,Yazılım Mühendisliği,İngilizce,4650$,Yer Bilimleri ,,
Patoloji,Rusça ,2850$,8*19 ay Dil eğitimi,,,,Kimya ,,
Hotel İşletmeciliği,Rusça ,2350$,6*14 Kişilik Sınıflarda  Hazırlık,,,,Teknolojik Sistemlerin Yönetimi,,
Sosyoloji,Rusça ,2350$, 4. Ayda Kayıtlar Baslar ,,,,Malzeme Mühendsiliği,,
Kamu Yönetimi,Rusça ,2850$,Davetiyeler 21 İş gününde Cıkar genelde,,,,Makine yapımı ve İnsaası,,
Tarih,Rusça ,2500$,,,,,Kara Taşımacılığı Teknolojisi,,
Hukuk ,Rusça ,2500$,,,,,Tarih ve Arkeoloji,,
İnsan Kaynakları Yönetimi ,Rusça ,2350$,,,,,Felsefe ve Din Çalışmaları,,
Matematik,Rusça ,2350$,,,,,Kitle İletişimi,,
Kimya,Rusça ,2350$,,,,,Ekonomi,,
Fizik ,Rusça ,2350$,,,,,Siyaset Bilimi,,
Cografya ,Rusça ,2350$,,,,,Hukuk,,
Biyomedikal Mühendisliği,Rusça ,2600$,,,,,Sosyoloji,,
Bilgisayar Mühendisliği,Rusça ,2600$,,,,,Psikoloji,,
Nano Teknoloji ,Rusça ,3620$,,,,,Eğitim Yönetimi,,
Mikrosistem Mühendisliği,Rusça ,3620$,,,,,Dil Bilimleri,,
Makine Mühendisliği ,Rusça ,2600$,,,,,,,
Bilgi sistemleri ve Teknolojileri,Rusça ,2600$, ,,,,,,
Jeoloji,Rusça ,2350$,,,,,,,
Cevre Mühendisliği,Rusça ,2850$,,,,,,,
Hidrometroloji (Su Muhendisliği),Rusça ,2850$,,,,,,,
Ekoloji ve Doğal Araştırmalar Yöntemi,Rusça ,2850$,,,,,,,
Harita Kadastro,Rusça ,2850$,,,,,,,
Toprak Bilimi ve Bitki Yetiştirme,Rusça ,2850$,,,,,,,
Teoloji,Rusça ,2350$,,,,,,,
Sanat Tarihi,Rusça ,2350$,,,,,,,
Felsefe ,Rusça ,2350$,,,,,,,
Siyasal Bilimler ,Rusça ,2600$,,,,,,,
Uluslararası İlişkiler,Rusça ,2850$,,,,,,,
Psikoloji ,Rusça ,2350$,,,,,,,
Reklamcılık ve Halkla İlişkiler ,Rusça ,2350$,,,,,,,
Radyo ve Televizyon,Rusça ,2350$,,,,,,,
Gazetecilik,Rusça ,2350$,,,,,,,
Medya ve İletişim,Rusça ,2350$,,,,,,,
Uygulamalı Kimya,Rusça ,2850$,,,,,,,
Uygulamalı Mekanik,Rusça ,2850$,,,,,,,
Uygulamalı Bilgisayar,Rusça ,2850$,,,,,,,
Uygulamalı Matematik Enformatik,Rusça ,2350$,,,, ,,,
Matematik ve Uygulamalı Bilgisayar,Rusça ,2350$,,,,,,,
Kalite Yonetimi ,Rusça ,2350$,,,,,,,
Mekanik ve Matematiksel Modelleme,Rusça ,2350$,,,,,,,
Grafik Dizayn,Rusça ,2850$,,,,,,,
Müzik ve Uygulamalı Müzik,Rusça ,2850$,,,,,,,
Beden Eğitimi ve Spor ,Rusça ,2400$,,,,,,,
Mutercim Tercumanlık (Rusça*Çince),Rusça ,2400$,,,,,,,
Mutercim Tercumanlık (Rusça*Korece),Rusça ,2400$,,,,,,,
Dil Bilimi ,Rusça ,2400$,,,,,,,
Rus Dili ve Edebiyatı,Rusça ,2350$, ,,,,,,
İspanyol Dili ve Edebiyatı,Rusça ,2850$, ,,,,,,
Alman Dili ve Edebiyatı,Rusça ,2850$,,,,,,,
Yazılım Mühendisliği,Rusça ,2600$,,,,,,,
URAL FEDERAL ÜNİVERSİTESİ,DİL ,ÜCRET,EK GİDERLER,YUKSEKLİSANS ,DİL ,ÜCRET,,,
,,,,,,,,,
Tarih,Rusça ,270.000 Ruble,Rusça Hazırlık 190.000 RUB ,Tarih,Rusça,245.000 Ruble,,,
Felsefe ,Rusça ,245.000 Ruble,,Felsefe,Rusça,245.000 Ruble,,,
Beden Eğitimi,Rusça ,310.000 Ruble,Yurt 30$-60$,Beden eğitimi,Rusça,314.000 Ruble,,,
Sanat tarihi,Rusça ,428.000 Ruble,2*3-4 kişilik odalar,Sanat Tarih,Rusça,245.000 Ruble,,,
Mimarlık ,Rusça ,310.000 Ruble,Sigorta 160$,Tasarım,Rusça,456.000 Ruble,,,
İnşaat Mühendisliği ,Rusça ,310.000 Ruble,,Mühendislik ve Teknoloji Bölümeri,Rusça ,279.000 Ruble,,,
Bilgisayar Bilimleri ve Bilgisayar Mühendisliği ,Rusça ,329.000 Ruble,,Yazılım Mühendisliği ,Rusça ,456.000 Ruble,,,
Yazılım Mühendisliği ,Rusça ,329.000 Ruble,,Bilgisayar Bilimi/Pratik Yapay Zeka,İngilizce ,312.000 Ruble,,,
Elektrik Mühendisliği ,Rusça ,301.000 Ruble,,Elektrik ve Elektrik Mühendisliği,İngilizce ,312.000 Ruble,,,
Makine Mühendisliği ,Rusça ,270.000 Ruble,,Biyoteknoloji,İngilizce ,312.000 Ruble,,,
Kimya Mühendisliği ,Rusça ,301.000 Ruble,,Tıbbi Biyokimya,Rusça ,310.000 Ruble,,,
Psikoloji ,Rusça ,301.000 Ruble,,Tıbbi Biyofizik,Rusça ,310.000 Ruble,,,
Matematik,Rusça ,245.000 Ruble,,Eczane,Rusça ,270.000 Ruble,,,
Fizik,Rusça ,270.000 Ruble,,Klinik Psikoloji,Rusça ,310.000 Ruble,,,
Kimya,Rusça ,270.000 Ruble,,Psikoloji,Rusça ,245.000 Ruble,,,
Biyoloji,Rusça ,270.000 Ruble,,Temel ve Uygulamalı Fizik,Rusça ,270.000 Ruble,,,
