SIRBİSTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
--DANIŞMANLIK VE HAZIRLIK PAKET : 4550€,,,,,,,,,,,,,,,,,,,,,,,,,,
"--ÖZELLİKLE ERKEK ÖĞRENCİLERDE  SINIRDA , YABANCILAR POLİSİNE KARŞI DAVRANIŞLARINA DİKKAT ETMELİLERDİR.",,,,,,,,,,,,,,,,,,,,,,,,,,
--VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--OTURUM ALMAK İÇİN 1500€ TEMİNAT GÖSTERİLİYOR. 350-500 EURO ARASI OTURUM ÜCRETİ DEĞİŞİYOR.,,,,,,,,,,,,,,,,,,,,,,,,,,
--LİSE DENKLİKLERİ İÇİN ÖĞRENCİLER 100 EURO ÖDEYECEK.,,,,,,,,,,,,,,,,,,,,,,,,,,
"--YÖK'ÜN KARARINA UYGUN OLARAK TIP, DİŞ, ECZACILIK VE HUKUK OKUMAK İSTEYEN ÖĞRENCİLER İÇİN İLK BİN ÜNİVERSİTELERİ:",,,,,,,,,,,,,,,,,,,,,,,,,,
--BELGRAD ÜNİVERSİTESİ   QS 721-730     THE 801-1000  CWTS 199  ARWU 301-400,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
       BELGRAD DEVLET ÜNİVERSİTESİ   ,,DİL,,EK GİDERLER,YÜKSEK LİSANS 1*2 YIL 4000€,ÜCRET,,DOKTORA 3 YIL,ÜCRET,DİL,,,,,,,,,,,,,,,,ƒ
Tıp,8.000- 2500,Sırpça*İngilizce,6 yıl,YURT YOK - BİREYSEL EV KİRALANIYOR. ,Avrupa ve Uluslararası  Politikaları*Kriz Yönetimi,2.200 €,Sırpça,Mimarlık ve Şehircilik,3.500 €,Sırpça,,,,,,,,,,,,,,,,
Diş Hekimliği ,2500-5000,Sırpça*İngilizce,6 yıl, EVLER 500€'DAN BAŞLIYOR. (TEK KİŞİLİK),Bitki Tıbbı ,2.200 €,Sırpça,BiyoKimya,9.000 €,Sırpça,,,,,,,,,,,,,,,,
Eczacılık ,2500- 3500,Sırpça*İngilizce,,,Gıda Teknolojisi,2.200 €,Sırpça,Kimya,9.000 €,Sırpça,,,,,,,,,,,,,,,,
HUKUK,2.400 €,Sırpça,,İLK AY KİRA+DEPOZİTO+EMLAK ÜCRETİ ÖDENİYOR.,,,Sırpça,,,Sırpça,,,,,,,,,,,,,,,,
Hemşirelik ,2.500 €,Sırpça,,Tum Bölümlerin Mulakatı bulunuyor,Hayvancılık ,2.200 €,Sırpça,İnşaat mühendisliği,4.000 €,Sırpça,,,,,,,,,,,,,,,,
Halk Sağlığı,2.500 €,Sırpça,, ,Tarım Bilimleri,3.300 €,Sırpça,Geodezi*Geoinformatik,4.200 €,Sırpça,,,,,,,,,,,,,,,,
Veterinerlik,2.500 €,Sırpça,,YAŞ SINIRI YOKTUR. DİPLOMA NOTU 85 ÜSTÜ OLMALI,Meyve Bilimi ve Bağcılık,2.200 €,Sırpça,Diş Hekimliğinde Klinik Uygulamalar 3 Yıl,5.000 €,Sırpça,,,,,,,,,,,,,,,,
Logopedi,1.800 €,Sırpça,,,Tarımda Cevre Koruma,2.200 €,Sırpça,Hukuk,3.000 €,Sırpça,,,,,,,,,,,,,,,,
Adli Tıp,1.800 €,Sırpça,,,Tarım Ekonomisi,3.300 €,Sırpça,AstroFizik,4.500 €,Sırpça,,,,,,,,,,,,,,,,
Agız Diş Sağlıgı ,5.000 €,Sırpça,,,Mimarlık,3.000 €,Sırpça,Tıp Bilimleri,4.000 €,Sırpça,,,,,,,,,,,,,,,,
Mimarlık,3.000 €,İngilizce,,,Şehircilik Planlama,3.000 €,Sırpça,Maden Mühendisliği,2.500 €,Sırpça,,,,,,,,,,,,,,,,
Yazılım Mühendisliği ,1.800 €,Sırpça,,,İç Mimarlık ,3.000 €,Sırpça,Metalurji Mühendisliği ,2.500 €,Sırpça,,,,,,,,,,,,,,,,
Bilişim Sistemleri Mühendisliği,3.500 €,İngilizce, ,,Mimarlık ve Şehircilik Teknoloji Mühendisliği( İng),2.000 €,Sırpça,Mühendislik Yönetimi,2.500 €,Sırpça,,,,,,,,,,,,,,,,
İnşaat Mühendisliği,2.400 €,Sırpça,,,Biyoloji,6.500 €,Sırpça,Kimya Mühendisliği,10.000,Sırpça,,,,,,,,,,,,,,,,
Bor Mühendisliği,2.000 €,Sırpça,,,Moleküler Biyoloji ve Fizyoloji,6500*4500,Sırpça,Cevre Mühendisliği,10.000,Sırpça,,,,,,,,,,,,,,,,
Ziraat Mühendisliği ,2.200 €,Sırpça,,,Ekoloji,6.500 €,Sırpça,Malzeme Mühendisliği,10.000,Sırpça,,,,,,,,,,,,,,,,
Makine Mühendisliği ,1.800 €,Sırpça,,,Biyoloji,4.500 €,Sırpça,Kimya ,10.000,Sırpça,,,,,,,,,,,,,,,,
