,,,,,,
,,,,,,
KOSOVA ÜNİVERSİTELERİ,,KAYIT DANIŞMANLIK 1400€,,,,HAZIRLIK ARNAVUTÇA 2500€ 
,,VİZESİZ BİR ÜLKEDEDİR. OKUL BAŞLADIKTAN SONRA ÖĞRENCİ OTURUMU YAPILIR.,,,,
UNIVERSUM INTERNATIONAL COLLEGE,,YAŞ SINIRI YOKTUR. DİPLOMA PUANI SINIRI YOKTUR. DÜŞÜKTE OLSA ALINIR.,,,,
BÖLÜMLER,ÜCRET,EĞİTİM DİLİ,,,,
HEMŞİRELİK (1 YIL KOSOVA + 2 YIL ALMANYADA HEM OKUYUP HEMDE ÇALIŞACAK),9.000€,Almanca,,,,
,,,,,,
Kosova Almanya hemşirelik programı toplam üç yıldır. Öğrenci ilk yıl Kosova’da ikinci ve üçüncü seneler Almanya’da eğitim alır.,,,,,,
 İlk yıl yoğun Almanca ve hemşirelik dersleri görür. Bu eğitim Türkçe desteklidir ikinci dönem biraz Almanca’ya kayabilir. Sene sonu GÖTE nin sınavına girer. Bu sınavdan B2 alması gerekir. ,,,,,,
"Bu sınavı geçenler Almanya’ya gider. Almanya’da haftanın belli günleri staj belli günleri eğitim görür. Staj ücreti olarak 1300 Euro maaş alır. Program ücreti toplam 9000 Euro’dur. Kayıt danışmanlık, okul ücreti, Almanca dersleri bu ücrete dahildir.",,,,,,
,,,,,,
HUKUK (KOSOVA+İNGİLİTERE DİPLOMASI) HIZLANDIRILMIŞ HUKUK EĞİTİM- DENKLİK İSTEYENLER İÇİN,5.500€,Türkçe- İngilizce,,,,
,,,,,,
Öğrenci 4 yıl eğitim alır ancak 3 yıl ödeme yapar. Son yıl bir ödeme yapılmaz. Öğrenci eğitimini 4 yıl Kosova'da tamamlar.,,,,,,
 Son yıl Kosova İngiltere programından mezun olur. İngiltere LİVERPOOL JHON MOORES üniversitesi ilk binde yer aldığı için öğrenci Türkiye'den denkliğini alabilir.,,,,,,
Türkiye'de adalet bölümü mezunu olan öğrenciler için bu programda 2. sınıftan eğitime başlayabilmektedir. Eğitim süresi toplamda üç yıldır. ,,,,,,
Üç yıl ödeme yapıyor. yıllık 5.500€,,,,,,
,,,,,,
Kosova Universum Üniversitesi SİBER GÜVENLİK ve YAZILIM -BİLGİSAYAR MÜHENDİSLİĞİ bölümü ile Amerika'da Arizona Devlet Üniversitesi'nde +1 Amerika Çifte Diploma programı,,,,, ,
Program Süresi: 3 Yıl + 1 Yıl,,,,,,
Eğitim Dili: İngilizce,,,,,,
 Program Ücreti :2.800€ Yıllık,,,,,,
Burs İmkanları:,,,,,,
"Öğrenciler, 50.000$'a kadar burs alarak 36.000$ olan eğitim ücretini bursla karşılama ve geri kalan 14.000$ ile Amerika'da 1 yıl yaşama fırsatına sahip olurlar. ",,,,,,
"Bu burs geri ödemeli olup, bursu veren kuruluş, öğrencinin 3 yıllık Amerika işçi oturum iznini alarak 3 yıl çalışmasını sağlar ve maaşının %50'sini keserek bursunu öder.",,,,,,
,,,,,,
,,,,,,
,,,,,,
PSİKOLOJİ,"€3.000,00",İngilizce,,,,
İŞLETME ve YÖNETİM,"€2.800,00",Arnavutça,,,,
SİBER GÜVENLİK,"€2.800,00",Arnavutça,,,,
BİLGİSAYAR BİLİMLERİ,"€2.800,00",Arnavutça,,,,
