,,,
,,,
,,,
,,,
,YURTDIŞINDA EĞİTİM NEDİR?,,
,Öğrencilerin lise diplomalarına göre yurtdışındaki üniversitelere kayıt süreçlerinde aracılık ve rehberlik hizmeti sunar.,,
, Öğrencilerin akademik durumları değerlendirilerek YÖK uygunluğu ve denklik şartlarına uygun üniversiteler belirlenir. ,,
,"Üniversite ve bölüm seçimi, başvuru işlemleri, gerekli belgelerin hazırlanması ve kayıt sürecinin takibi profesyonel şekilde yürütülür.",,
,,,
,"Bu sayede öğrenciler, hem doğru üniversiteyi seçme hem de resmi süreçleri eksiksiz tamamlama konusunda profesyonel destek",,
, alarak yurtdışında eğitim hayatlarına güvenli ve planlı bir şekilde başlayabilirler. ,,
,"Yurtdışı eğitim danışmanlığı, öğrencilerin eğitim hedeflerine ulaşmalarında önemli bir rehberlik sağlar.",,
,,,
,,,
,DENKLİK NEDİR?,,
,"Denklik; yurtdışındaki bir üniversiteden alınan diplomanın, Türkiye’deki üniversite diplomalarına eşdeğer olup olmadığının Yükseköğretim Kurulu (YÖK) tarafından değerlendirilmesi ve onaylanmasıdır.",,
,"Denklik sürecinde üniversitenin tanınırlığı, eğitim programı, alınan dersler ve eğitim süresi gibi kriterler değerlendirilir.",,
," İnceleme sonucunda diploma doğrudan denk sayılabilir veya bazı durumlarda ek ders, sınav ya da uygulama gibi ek şartlar istenebilir.",,
,,,
,,,
,TANINIRLIK NEDİR?,,
,"Tanınırlık, yurtdışındaki bir üniversitenin Türkiye’de Yükseköğretim Kurulu (YÖK) tarafından resmi olarak kabul edilip edilmediğini ifade eder.",,
,"Bir üniversitenin tanınırlığı varsa, o üniversitede alınan diploma denklik başvurusu yapmaya (BAZI BÖLÜMLER HARİÇ) uygun kabul edilir.",,
,,,
,Tanınırlık: Üniversitenin YÖK tarafından kabul edilmesi (TANINIRLIK E-DEVLETTE BAKILIYOR,,
,Denklik: Alınan diplomanın Türkiye’de geçerli sayılması,,
,,,
,Denklikte sadece tanınırlığa bakılmayan bölümler bulunmaktadır.   (karar mart 2024te yayınlandı.),,
,"YÖK tarafından alınan karara göre Tıp, Diş Hekimliği, Eczacılık ve Hukuk okumak isteyen öğrenciler ya YKS'ye girip ülkede kazanmış gibi bir puan ve sıralama yapacak ya da",,
,"YÖK'ün kabul ettiği üniversite sıralama kuruluşlarında ilk binde yer alan üniversitelerde okuyacak. Bizim çalıştığımız ülkeler: kosova çifte diploma hukuk programı, sırbistan, iran ve rusyadır",,
,"sıralama kuruluşları; arwu , cwts, qs, the higher education ",,
,,,
,Çalıştığımız ülkeler:,,
,"Kuzey Makedonya, Bosna hersek, Sırbistan, Kosova, Bulgaristan, Gürcistan, Moldova, Polonya , Romanya, Rusya, Azerbaycan, Iran",,
,,,
,EN ÇOK SORULAN SORULAR,,
,1- KAYIT DANIŞMANLIK ÜCRETİNE HANGİ HİZMETLER DAHİLDİR.,,
,"Üniversite kayıt, Havalimanında karşılama, yerleştirme, kalacak yer bakanlık ve oturum işlemlerinde rehberlik.",,
,,,
,2- KAYIT DANIŞMANLIK ÜCRETİ HER YIL ÖDENİYOR MU?,,
,Ücret kayıt esnasında tek seferlik alınır.,,
,,,
,3- KAYIT DANIŞMANLIK ÜCRETİNE VİZE DAHİL Mİ?,,
,"Biz vizeci değiliz, vizeye yönlendiriyoruz. ücretlendirmesi vize şirketlerine yapılıyor.",,
,,,
,4- HERHANGİ BİR EVRAK HAZIRLAMAYA GEREK VAR MI?,,
,Öğrencilere evrak listesi iletilir ve evrakların hangi kurumlardan alınacağı konusunda yönlendirilir.,,
,,,
,,,
, DENKLİK ALMAK İÇİN NE YAPILMALI?,,
,1- YÖK'ün denklik için istediği şartları sağlayan bir mezun olmak gerekir. Öğrenci Okuduğu yıl boyunca dönemlik 49 iş günü,,
,yurtdışında bulunmalıdır. Denklik müracatında yurtdışı giriş-çıkışları teslim edilir.,,
,,,
,2-Bölüme göre denklik prosedürleri değişkenlik gösterir. Bazı bölümlerde fark dersleri çıkar ve bu dersleri,,
,Türkiye'deki üniversitelerden alır.,,
,,,
,BÖLÜM,FARK DERSİ,SINAV
,TIP FAKÜLTESİ,çıkmaz,TUS 2. OTURUM
,DİŞ HEKİMLİĞİ,çıkmaz,DUS 2. OTURUM
,ECZACILIK,1 ders,İlmi Hüviyet (sınav mülakat formunda gerçekleşir.)
,HUKUK,9 ila 12 ders,STS
,VETERİNERLİK,çıkabilir ,STS
,DİĞER BÖLÜMLER,çıkabilir ,STS
,,,
,*mühendislikler proje teslimi de yapabiliyorlar.,,
,"*denklik için staj yapması gereken bölümlerde, staj eksiksiz tamamlanmalı gerekli evraklar denklik aşamasında ",,
,YÖK'e teslim edilmelidr.,,
,*sınavlarda %40lık başarı istenmektedir.,,
,*denklik sınavları yılda 2 kez yapılmaktadır. Sınırsız giriş hakkı bulunmaktadır.,,
,,,
,not: Doktora kaydı almıyoruz.,,
,not2: Yurtdışında bütünleşik doktora yoktur.,,
,not3: Yüksek lisans kayıtları için lisans evraklarının okula sorulması gerekmektedir.,,
